Temperature,Pressure
-82.45510284408137, 101.64205426947433
-80.641510051786, 93.16500762077737
-80.55738879302679, 109.48816522994025
-79.2714914940795, 82.44330202354396
-78.71593190684858, 115.87236590322539
-77.27323310597838, 78.0894867768717
-76.9679542063978, 120.89225917157344
-75.39240277629416, 127.84515576296081
-75.18185008772599, 73.75550419039541
-73.64462452504877, 132.10873764455735
-72.95210526401873, 69.47075150534138
-72.28403903152264, 138.94348247253126
-71.07487231695326, 66.2387403723618
-70.51154627869965, 143.2425371249945
-68.89444495773404, 150.3669989499156
-68.9839747177599, 61.93768705817507
-67.20549935745713, 154.50013132197256
-66.85657484805074, 58.065290188734394
-65.82017382312591, 161.46719367155578
-64.7420949250477, 52.592484116531836
-64.07243205649125, 165.5924259092344
-63.531839579188414, 51.466812259899825
-62.514137847266596, 172.6832829753585
-60.74903974322709, 177.04640460427743
-59.190836745529296, 183.79138756060667
-57.42578424725322, 187.98157213462815
-55.8675994918608, 194.65738026899845
-54.10249226666859, 199.05508930889687
-52.54409772476444, 206.5264078957954
-50.79069504334775, 211.940185279658
-49.83074564371549, 220.09244141533384
-48.0948797114263, 224.58420815591558
-46.709213654061514, 232.84253384873307
-44.983470022866854, 237.8645619880179
-43.79538515879926, 246.35034038856986
-42.06955813420868, 251.68859628538138
-40.68388234761437, 259.98381521657706
-38.947958788350206, 264.69410344601386
-37.98806551888832, 272.6335139756621
-36.25709125076054, 277.31247365835355
-35.06913147678691, 285.3239104226153
-33.34346081481374, 290.0692392740642
-31.95777529898993, 298.40135144363796
-30.386504729879505, 302.23669155823785
-29.567792497229334, 311.5429331052828
-27.974403132859123, 320.5599343876276
-26.311334242748018, 331.49232908756227
-24.648256231484254, 342.4593111984764
-22.985114372151713, 353.66840518624696
-21.32211845126207, 364.3241005983457
-19.658940107318784, 375.6715442300342
-17.99578912683353, 386.9152256287843
-16.367443856915372, 397.33033665306283
-14.90126617998223, 408.22406814324717
-13.668681316848506, 421.1501728164776
-12.390166666127186, 432.14623239673847
-11.616792421968427, 443.60885683893207
-10.003276148348391, 454.0015642273827
-8.947055354299522, 468.3411420582064
-8.093575719923564, 478.330686853609
-6.614272777781281, 489.41607090812465
-5.894497427695171, 502.0285993061617
-4.809343519748808, 512.5621041799768
-3.640380884015002, 524.5840667103724
-2.815183184380203, 536.2877909854418
-1.8010457182766402, 548.1447581096328
-0.755448895402111, 559.6710041317355
0.1370585008163232, 571.5100309843314
1.1306630160270004, 582.6134724888549
1.9811470901251482, 594.3593211203512
2.8833958774106065, 605.6649360145099
3.6646894932879945, 617.349935264745
4.658731823827537, 630.113572496284
5.561975317917842, 643.7498553296141
6.383527107850199, 655.3857743588812
7.188458329108698, 667.2809249669665
8.021730353750655, 679.3360241085265
8.8948388958041, 691.1188694717436
9.716495802237375, 703.1533902722989
10.329180448879868, 716.7684841850049
11.141407802575742, 731.4622782450006
11.947863638325344, 746.7541363835508
12.608539131103385, 760.0966071765332
13.23405562066705, 771.2708218764383
13.859657240989065, 782.7678524121519
14.484991307499058, 793.2503188924674
15.16640315621595, 804.514476577367
15.71226345000764, 816.2970525157663
16.562943124385157, 829.7934995920964
17.36149596421822, 845.9771228847618
18.312117520068114, 859.9612829674456
19.45720266433753, 874.0195748736551
20.320437241207344, 887.274371409672
21.153655214574087, 899.1245081157978
21.98706642124958, 911.7073855286004
22.820374930502254, 923.9008343140785
23.653586147459635, 935.7253507157751
24.486882495175394, 947.8726829532806
25.32010587366966, 959.74331590295
26.153304929090126, 971.5217157566741
27.02662395928249, 984.1027321424948
27.848219632802596, 995.9050577364745
28.709785657337477, 1003.9682422088307
